Input Line,Processed Line,Digits in Line,Calibration Value
4bccrqxmrvd1three,4bccrqxmrvd13,"4, 1, 3",43
nine93fourjhspbgnthree364,993fourjhspbgn3364,"9, 9, 3, 3, 3, 6, 4",94
11q,11q,"1, 1",11
three7fourthreeftbxtmmm,37four3ftbxtmmm,"3, 7, 3",33
mznine6six1,mz9661,"9, 6, 6, 1",91
sevendzpcbqjfdk83twobgqfourmkzfzflnn1,7dzpcbqjfdk83twobgq4mkzfzflnn1,"7, 8, 3, 4, 1",71
twocvbtssm72,2cvbtssm72,"2, 7, 2",22
keightwo12,k8wo12,"8, 1, 2",82
fourzxcbncddhthreeqsccqgsf4crzszqdd3nvvjsix,4zxcbncddhthreeqsccqgsf4crzszqdd3nvvj6,"4, 4, 3, 6",46
jmh3ggvdp,jmh3ggvdp,3,33
12fiveninefoureight,125ninefour8,"1, 2, 5, 8",18
3tvlmfpkgrdthree2phmllhczeightj9qq,3tvlmfpkgrd32phmllhcz8j9qq,"3, 3, 2, 8, 9",39
sevendndrnfpfzmgvfqnkp8pcjlttzfour7,7dndrnfpfzmgvfqnkp8pcjlttz47,"7, 8, 4, 7",77
dvtbsjreight1fkdlffive55bxzpsrnxtbfour,dvtbsjr81fkdlffive55bxzpsrnxtb4,"8, 1, 5, 5, 4",84
7threeseven,737,"7, 3, 7",77
qrhzdlsb4five,qrhzdlsb45,"4, 5",45
bvdvjfqvtrtqntrrnqfpf87njtjgxzkgbcnine,bvdvjfqvtrtqntrrnqfpf87njtjgxzkgbc9,"8, 7, 9",89
z927,z927,"9, 2, 7",97
one2eight,128,"1, 2, 8",18
7dpszhz3pfnrrtrkxjn,7dpszhz3pfnrrtrkxjn,"7, 3",73
8mfkvn,8mfkvn,8,88
258lkpqdc3five733,258lkpqdc35733,"2, 5, 8, 3, 5, 7, 3, 3",23
1nine1threefour,191three4,"1, 9, 1, 4",14
nnbfzxdmm828cdgvfive,nnbfzxdmm828cdgv5,"8, 2, 8, 5",85
threetwothreethreetjzskgfive4,3twothreethreetjzskg54,"3, 5, 4",34
six893sevennine82,6893seven982,"6, 8, 9, 3, 9, 8, 2",62
3ss48phseventwo24,3ss48ph7224,"3, 4, 8, 7, 2, 2, 4",34
xgbpshxnkvcppnninepjcztcsevenqbnjcjftpxxkpqp66,xgbpshxnkvcppn9pjcztc7qbnjcjftpxxkpqp66,"9, 7, 6, 6",96
8mlkbpdpftwonine4,8mlkbpdpf294,"8, 2, 9, 4",84
5three6six1seven,536six17,"5, 3, 6, 1, 7",57
91onelrttnjrcqjtnrfivec,911lrttnjrcqjtnr5c,"9, 1, 1, 5",95
322one,3221,"3, 2, 2, 1",31
sevenmfpxvntvkpqvpbnnbpr5seven18sixeighteightwok,7mfpxvntvkpqvpbnnbpr5seven18sixeighteigh2k,"7, 5, 1, 8, 2",72
jnthkgsrone6vnkdvkjznjnboneoneseven7,jnthkgsr16vnkdvkjznjnboneone77,"1, 6, 7, 7",17
five81472,581472,"5, 8, 1, 4, 7, 2",52
2onefive,215,"2, 1, 5",25
nine9oneqfb7,991qfb7,"9, 9, 1, 7",97
tcf2two2145eightsix,tcf222145eight6,"2, 2, 2, 1, 4, 5, 6",26
vdjhlrksdhcone17three9qoneightr,vdjhlrksdhc117three9qon8r,"1, 1, 7, 9, 8",18
fiveone82228bgrr,5182228bgrr,"5, 1, 8, 2, 2, 2, 8",58
5rfxlfbbjqninethreefour,5rfxlfbbjq9three4,"5, 9, 4",54
eight641,8641,"8, 6, 4, 1",81
2pjmlgrrzvv,2pjmlgrrzvv,2,22
kpqsxmvhp4twohnlsone3eighttwones,kpqsxmvhp42hnlsone3eighttw1s,"4, 2, 3, 1",41
35sixd9eighthm89,356d98hm89,"3, 5, 6, 9, 8, 8, 9",39
8four5onethreeqmdmttvchslfvnqrbftthree,845onethreeqmdmttvchslfvnqrbft3,"8, 4, 5, 3",83
fivemmbfjmq1jlvzsix1hgkbr7bxcsc,5mmbfjmq1jlvz61hgkbr7bxcsc,"5, 1, 6, 1, 7",57
eightgmjxseven5fivefiveslbfsqrjrnbhqzgr,8gmjxseven5five5slbfsqrjrnbhqzgr,"8, 5, 5",85
xr18oneqjgsnjfzcsix4,xr181qjgsnjfzc64,"1, 8, 1, 6, 4",14
9threefivekclcmrnsix654,93fivekclcmrn6654,"9, 3, 6, 6, 5, 4",94
onelnh6sqvzxeight9,1lnh6sqvzx89,"1, 6, 8, 9",19
6vjjpmmxxknineone79,6vjjpmmxxk9179,"6, 9, 1, 7, 9",69
cdsfmz97twoninetqhhtsljsixseven,cdsfmz972ninetqhhtsljsix7,"9, 7, 2, 7",97
8five6,856,"8, 5, 6",86
ninepkp3,9pkp3,"9, 3",93
eightfour4fqtrlnzt,844fqtrlnzt,"8, 4, 4",84
one4pttsvonexsj4,14pttsv1xsj4,"1, 4, 1, 4",14
fczlpseven261,fczlp7261,"7, 2, 6, 1",71
9six6nine5nb4fouroneightv,966nine5nb4fouron8v,"9, 6, 6, 5, 4, 8",98
2snzvzxkbbpcvd,2snzvzxkbbpcvd,2,22
mvnqjkcmkhrvnsxt3hjkj2ninethreezzbbrsdone,mvnqjkcmkhrvnsxt3hjkj29threezzbbrsd1,"3, 2, 9, 1",31
zktwonemhqnxssxftwotsd1nhfmrxpffoureight7,zk2nemhqnxssxftwotsd1nhfmrxpffour87,"2, 1, 8, 7",27
qfhlmpxhxpthreennlk7chk7zzmlqxmtlk6,qfhlmpxhxp3nnlk7chk7zzmlqxmtlk6,"3, 7, 7, 6",36
7dxhzpmtwog9,7dxhzpm2g9,"7, 2, 9",79
kfkmpmzxhn6four87rcthd,kfkmpmzxhn6487rcthd,"6, 4, 8, 7",67
bvplp656vtxxlqvmm6187,bvplp656vtxxlqvmm6187,"6, 5, 6, 6, 1, 8, 7",67
811beight,811b8,"8, 1, 1, 8",88
39586547,39586547,"3, 9, 5, 8, 6, 5, 4, 7",37
18twok,182k,"1, 8, 2",12
pfxsfxsvkjrb9,pfxsfxsvkjrb9,9,99
38z9trcxdbfivedmhtdrfive,38z9trcxdb5dmhtdr5,"3, 8, 9, 5, 5",35
19bhddbmbkbg77,19bhddbmbkbg77,"1, 9, 7, 7",17
four522,4522,"4, 5, 2, 2",42
7vshvtblzonefbfcfgsfive2,7vshvtblz1fbfcfgs52,"7, 1, 5, 2",72
mgtwoneonecthreefoureight37eightjqlxf,mg2neonecthreefoureight378jqlxf,"2, 3, 7, 8",28
eightnine67gthszx9tzxczcpone1,8nine67gthszx9tzxczcp11,"8, 6, 7, 9, 1, 1",81
fourfourthree2fivejrfgkb6seventwo,4fourthree2fivejrfgkb6seven2,"4, 2, 6, 2",42
4dnreightrv6ql3,4dnr8rv6ql3,"4, 8, 6, 3",43
csfgqxjdvm22jjnr9,csfgqxjdvm22jjnr9,"2, 2, 9",29
42szlhdvbdstllzldtcblgtfive7gnctbrmvmn6,42szlhdvbdstllzldtcblgt57gnctbrmvmn6,"4, 2, 5, 7, 6",46
ztwoneeightfourzzsck7seventwo,z2neeightfourzzsck7seven2,"2, 7, 2",22
two78,278,"2, 7, 8",28
1hxqtdxjqflthreesrzzdbxmfnvk89three,1hxqtdxjqfl3srzzdbxmfnvk893,"1, 3, 8, 9, 3",13
rnprnnpbjq7fivetwoneqsh,rnprnnpbjq75tw1qsh,"7, 5, 1",71
hkpjjpbl3nineone6pcszznjft8d,hkpjjpbl3916pcszznjft8d,"3, 9, 1, 6, 8",38
gcbtzdtkhnbbjnftwo2four7nineseven,gcbtzdtkhnbbjnf22four7nine7,"2, 2, 7, 7",27
3foureightonesixrfqrjlp,34eightone6rfqrjlp,"3, 4, 6",36
qvftcskmxdvnsrzqfourfivethreenine99slncxvjrcn,qvftcskmxdvnsrzq4fivethree999slncxvjrcn,"4, 9, 9, 9",49
six5sshpxtr88,65sshpxtr88,"6, 5, 8, 8",68
7twofour,724,"7, 2, 4",74
four143,4143,"4, 1, 4, 3",43
vrxxmzfp8,vrxxmzfp8,8,88
four9tg8bfonesix59,49tg8bfone659,"4, 9, 8, 6, 5, 9",49
three3onezsqdtkrceighthnstg6three,33onezsqdtkrceighthnstg63,"3, 3, 6, 3",33
7seventwonine,77two9,"7, 7, 9",79
fivetwofour9nine1two,5twofour9nine12,"5, 9, 1, 2",52
twozfdvkjzbtwo6xrjgmfgsxv,2zfdvkjzb26xrjgmfgsxv,"2, 2, 6",26
1dqfcfjcbxxgxrksixnine4,1dqfcfjcbxxgxrk694,"1, 6, 9, 4",14
rfpgseven5ninezdmbx5,rfpg759zdmbx5,"7, 5, 9, 5",75
622,622,"6, 2, 2",62
nine19fivetvm,9195tvm,"9, 1, 9, 5",95
eightthreelpj58qjlnhr,83lpj58qjlnhr,"8, 3, 5, 8",88
9fourjtczvxfourfivebmzds415,94jtczvxfour5bmzds415,"9, 4, 5, 4, 1, 5",95
3fivejbgzdsx,35jbgzdsx,"3, 5",35
fcqdbxgjf86twofour,fcqdbxgjf8624,"8, 6, 2, 4",84
nine6oneone,96one1,"9, 6, 1",91
onefour1,141,"1, 4, 1",11
onestc6eight3oneseventhreeone,1stc6eight3oneseventhree1,"1, 6, 3, 1",11
seven2six,726,"7, 2, 6",76
plbgd5nmppgfpbtphsxldrllpmnprm,plbgd5nmppgfpbtphsxldrllpmnprm,5,55
1three14eightbvnzx83,13148bvnzx83,"1, 3, 1, 4, 8, 8, 3",13
four95kkpjsttjf8one,495kkpjsttjf81,"4, 9, 5, 8, 1",41
mrkrgj5xtqvvzpmxn8nine,mrkrgj5xtqvvzpmxn89,"5, 8, 9",59
nineskg78nbrnonelsxfxkxlrc,9skg78nbrn1lsxfxkxlrc,"9, 7, 8, 1",91
qxnvkcx1one,qxnvkcx11,"1, 1",11
9ztbs2grvsixsqt94,9ztbs2grv6sqt94,"9, 2, 6, 9, 4",94
sevenjhtd7,7jhtd7,"7, 7",77
qjb78nine29,qjb78929,"7, 8, 9, 2, 9",79
3oneonegjtcppfrjs633,311gjtcppfrjs633,"3, 1, 1, 6, 3, 3",33
3clhz,3clhz,3,33
1v398nine,1v3989,"1, 3, 9, 8, 9",19
mqlsevenlcnblh94,mql7lcnblh94,"7, 9, 4",74
5fiveseven,557,"5, 5, 7",57
73rbhnnsixsix7ntssps9v,73rbhnn667ntssps9v,"7, 3, 6, 6, 7, 9",79
svjsgvdsrspmsxzkczseven11nine4,svjsgvdsrspmsxzkcz71194,"7, 1, 1, 9, 4",74
onefjncqnsbsvqqm4478,1fjncqnsbsvqqm4478,"1, 4, 4, 7, 8",18
mfzfzjhc1zgbtt,mfzfzjhc1zgbtt,1,11
six1sevenseventwokvbtwogvpstm,61sevenseventwokvb2gvpstm,"6, 1, 2",62
one56nine,1569,"1, 5, 6, 9",19
8sxhbpfrxfsixl9lthreehr9,8sxhbpfrxf6l9l3hr9,"8, 6, 9, 3, 9",89
44nine4threethreedbbp,4494three3dbbp,"4, 4, 9, 4, 3",43
seventhreedp66gnxvfnpzvdpqflnx2,73dp66gnxvfnpzvdpqflnx2,"7, 3, 6, 6, 2",72
twotwofour37cmfzvxqjp5seven,2twofour37cmfzvxqjp57,"2, 3, 7, 5, 7",27
1twonexlr,12nexlr,"1, 2",12
sixtwosix6seven7g,6twosix677g,"6, 6, 7, 7",67
63zscqhtonebtcjfdjqc,63zscqht1btcjfdjqc,"6, 3, 1",61
fiveklbblk4eighttwonefdf,5klbblk4eighttw1fdf,"5, 4, 1",51
seven7one,771,"7, 7, 1",71
zz361tmxqdpmgseven6,zz361tmxqdpmg76,"3, 6, 1, 7, 6",36
5onethree6cgkfkdcmnine2blhxzqxjqk5,51three6cgkfkdcm92blhxzqxjqk5,"5, 1, 6, 9, 2, 5",55
threefour43dp,3443dp,"3, 4, 4, 3",33
hcmjsszeightthree4tsnppskn78ggl,hcmjssz834tsnppskn78ggl,"8, 3, 4, 7, 8",88
7gzqsthtmvszmjvcgseven,7gzqsthtmvszmjvcg7,"7, 7",77
onethree6sevenonetcxsseven,1three6sevenonetcxs7,"1, 6, 7",17
3twobzbxc9onelxfkvgsnhteight,32bzbxc9onelxfkvgsnht8,"3, 2, 9, 8",38
hnljcxrhxhjkhmhtffjrcqmeight7kcjmhjlvmgq4,hnljcxrhxhjkhmhtffjrcqm87kcjmhjlvmgq4,"8, 7, 4",84
5nineseven6lkxzlbf,5976lkxzlbf,"5, 9, 7, 6",56
49jxmvnql8crs,49jxmvnql8crs,"4, 9, 8",48
qgq6eighttwo5one,qgq68two51,"6, 8, 5, 1",61
1xclqfour8bgqsjknine,1xclq48bgqsjk9,"1, 4, 8, 9",19
mrheightwogfglthreeeight6threeeighttwodfkjgp,mrh8wogfglthreeeight6threeeight2dfkjgp,"8, 6, 2",82
26three6nfrxkhqlq93seven,2636nfrxkhqlq937,"2, 6, 3, 6, 9, 3, 7",27
3two4gjzmvvnrhdthreekrqhbfgssjghksix,324gjzmvvnrhdthreekrqhbfgssjghk6,"3, 2, 4, 6",36
sixone6sixfour7four,6one6sixfour74,"6, 6, 7, 4",64
zbsvkkmhmcone677hmjsevenrqmng,zbsvkkmhmc1677hmj7rqmng,"1, 6, 7, 7, 7",17
mqzjpd5foursevengxmsbjhl,mqzjpd547gxmsbjhl,"5, 4, 7",57
lmrpmthreelthree19tvbnbfqggnftwo,lmrpm3lthree19tvbnbfqggnf2,"3, 1, 9, 2",32
x3,x3,3,33
6zrhpdnxqpbfourltbvhlglvseven,6zrhpdnxqpb4ltbvhlglv7,"6, 4, 7",67
3onesixeightsevenqjjclpcndtzgnzcv9,31sixeight7qjjclpcndtzgnzcv9,"3, 1, 7, 9",39
fiveeightrm6,58rm6,"5, 8, 6",56
cfqonesevenszbvlkdpfourninetwo6five,cfq1sevenszbvlkdpfourninetwo65,"1, 6, 5",15
9lhlsbntzfourhvxfxgfjfivezcvqfshmldcmmhb,9lhlsbntz4hvxfxgfj5zcvqfshmldcmmhb,"9, 4, 5",95
oneseven28pjmqkd,1728pjmqkd,"1, 7, 2, 8",18
one5three284fhrbztwoseven,15three284fhrbztwo7,"1, 5, 2, 8, 4, 7",17
jmhj2rnf983bbzsmts2xf,jmhj2rnf983bbzsmts2xf,"2, 9, 8, 3, 2",22
one981eightr4,19818r4,"1, 9, 8, 1, 8, 4",14
tmtwo2zrjdd9five,tm22zrjdd95,"2, 2, 9, 5",25
4eightsixsix,48six6,"4, 8, 6",46
q3rszpbkftqv,q3rszpbkftqv,3,33
6zndd7,6zndd7,"6, 7",67
7sixflqjpcgrh4281,76flqjpcgrh4281,"7, 6, 4, 2, 8, 1",71
89ninehbfklckdglmcgvm2,899hbfklckdglmcgvm2,"8, 9, 9, 2",82
712gsfgtdvthree,712gsfgtdv3,"7, 1, 2, 3",73
nine5knlzninerspkdklnthree,95knlzninerspkdkln3,"9, 5, 3",93
dhjmgthfiveeight79threefive,dhjmgth5eight79three5,"5, 7, 9, 5",55
87bn,87bn,"8, 7",87
4eightkbppvkx9sevenzqcfrqlbxmk45,48kbppvkx97zqcfrqlbxmk45,"4, 8, 9, 7, 4, 5",45
fourthreekvtvdrlgjrk2four7c,4threekvtvdrlgjrk247c,"4, 2, 4, 7",47
six6dlmmmvfkseventwoonesix,66dlmmmvfkseventwoone6,"6, 6, 6",66
47rsjqzcqsnffourqdggnkpgsqjgprhrx2,47rsjqzcqsnf4qdggnkpgsqjgprhrx2,"4, 7, 4, 2",42
ptbtpthmkeightxtzjftbff6dqzdq7,ptbtpthmk8xtzjftbff6dqzdq7,"8, 6, 7",87
48sixcfngcjngjs3bszknmgzjthree,486cfngcjngjs3bszknmgzj3,"4, 8, 6, 3, 3",43
nmcdlgrrdrmrrbpfn1,nmcdlgrrdrmrrbpfn1,1,11
5q6crrhphbmqr8zdddmnseven8,5q6crrhphbmqr8zdddmn78,"5, 6, 8, 7, 8",58
fxlkdnq6,fxlkdnq6,6,66
threeffvsrjdbtfk6trsgmkn,3ffvsrjdbtfk6trsgmkn,"3, 6",36
one3fourtwofcqsgcvvg,13four2fcqsgcvvg,"1, 3, 2",12
eight8onexvdtthree1pzfrllrjrtktzvnrp,88onexvdt31pzfrllrjrtktzvnrp,"8, 8, 3, 1",81
hlnine3,hl93,"9, 3",93
54three3zxbdtjrlzone,5433zxbdtjrlz1,"5, 4, 3, 3, 1",51
5qjnpjvnzpfive2two71rphp,5qjnpjvnzp52271rphp,"5, 5, 2, 2, 7, 1",51
njseven6four,nj764,"7, 6, 4",74
bgpkmfcbl72,bgpkmfcbl72,"7, 2",72
9vmjgvhvfvd1,9vmjgvhvfvd1,"9, 1",91
ttbmt46two,ttbmt462,"4, 6, 2",42
mksvjgxsbdnlg8eighttwofourthreesfn,mksvjgxsbdnlg88twofour3sfn,"8, 8, 3",83
mtjm6twoseven46,mtjm62746,"6, 2, 7, 4, 6",66
fivefourcktdqsdlvpdq1eightwolc,5fourcktdqsdlvpdq1eigh2lc,"5, 1, 2",52
45twoneqs,452neqs,"4, 5, 2",42
sevenplrfqrhfivejqzrnv3,7plrfqrh5jqzrnv3,"7, 5, 3",73
9nine4threetwolk6sevenk,994threetwolk67k,"9, 9, 4, 6, 7",97
5qxpfourfqtg,5qxp4fqtg,"5, 4",54
34cpbblldjfqpltcntpzninetwo,34cpbblldjfqpltcntpz92,"3, 4, 9, 2",32
7eightfivehczsxqhglmtpsxk8hkksbzr,785hczsxqhglmtpsxk8hkksbzr,"7, 8, 5, 8",78
69two9,6929,"6, 9, 2, 9",69
6seven33pggfive1,6733pgg51,"6, 7, 3, 3, 5, 1",61
sevenhkhrj2,7hkhrj2,"7, 2",72
4phnnpxthjn8,4phnnpxthjn8,"4, 8",48
4vnnfqdssrfive8seven8ninedfhl,4vnnfqdssr58seven89dfhl,"4, 5, 8, 8, 9",49
frhf15three4vvlgthree,frhf1534vvlg3,"1, 5, 3, 4, 3",13
4nine3,493,"4, 9, 3",43
57hlrhqmxxxbl,57hlrhqmxxxbl,"5, 7",57
eightjhblpnjk786fivekrq,8jhblpnjk7865krq,"8, 7, 8, 6, 5",85
rj9twofour,rj924,"9, 2, 4",94
lmszmtrhpthreezbdghgfour7sixtwofive,lmszmtrhp3zbdghgfour7sixtwo5,"3, 7, 5",35
ninesixrlxxsskgjpqfdpzbthree5,9sixrlxxsskgjpqfdpzb35,"9, 3, 5",95
qbddmnpgskf1tpfive34,qbddmnpgskf1tp534,"1, 5, 3, 4",14
fxmninejzl319twoeight4,fxm9jzl319two84,"9, 3, 1, 9, 8, 4",94
two7ckzsmvqfcbfourthree25,27ckzsmvqfcbfour325,"2, 7, 3, 2, 5",25
xzhqltqmdfourqshqmlxpninecbrsclzftwotwo7three,xzhqltqmd4qshqmlxpninecbrsclzftwotwo73,"4, 7, 3",43
one3zdppmxfroneighthb,13zdppmxfron8hb,"1, 3, 8",18
eightsix8tmh7fivesixgbdttd3,8six8tmh7five6gbdttd3,"8, 8, 7, 6, 3",83
pnhkxlcsh35,pnhkxlcsh35,"3, 5",35
four45,445,"4, 4, 5",45
9sevenfivehxr4eightfour8,97fivehxr4eight48,"9, 7, 4, 4, 8",98
rmvmqbclzr5bmsxdzxgptlhczgsh42eight,rmvmqbclzr5bmsxdzxgptlhczgsh428,"5, 4, 2, 8",58
bpbbvbjrptfourqpkdfqkjcrrpone1b3,bpbbvbjrpt4qpkdfqkjcrrp11b3,"4, 1, 1, 3",43
2six6,266,"2, 6, 6",26
ninesixthreexshfvpb5,9six3xshfvpb5,"9, 3, 5",95
3xhljmkxlr1clcqkmbdrmtxptgl,3xhljmkxlr1clcqkmbdrmtxptgl,"3, 1",31
gfkhdhgv27ktc7foursevenseven2,gfkhdhgv27ktc74seven72,"2, 7, 7, 4, 7, 2",22
eight1eight4,8184,"8, 1, 8, 4",84
nine4vzdqjs8three9,94vzdqjs839,"9, 4, 8, 3, 9",99
2lhmbfzonetwo9,2lhmbfz129,"2, 1, 2, 9",29
nlhkm83cslc5three9sevennine,nlhkm83cslc539seven9,"8, 3, 5, 3, 9, 9",89
thhllmnnpxsbtjvnrnhq8rbvhzfrxzqqqhccqlzfggseven,thhllmnnpxsbtjvnrnhq8rbvhzfrxzqqqhccqlzfgg7,"8, 7",87
four6six8kqmjzk8,4668kqmjzk8,"4, 6, 6, 8, 8",48
gcrqzmbsh7seven6,gcrqzmbsh776,"7, 7, 6",76
8five575four9six,85575four96,"8, 5, 5, 7, 5, 9, 6",86
four615,4615,"4, 6, 1, 5",45
41xzlprtjncrlzbcgvbmclsqrnbdone6,41xzlprtjncrlzbcgvbmclsqrnbd16,"4, 1, 1, 6",46
sdphx53c,sdphx53c,"5, 3",53
threefblfr1seven3,3fblfr173,"3, 1, 7, 3",33
xqh1one,xqh11,"1, 1",11
qztslzlkheightsixkrpfourtwonine7one,qztslzlkh8sixkrpfourtwonine71,"8, 7, 1",81
nhqdsngrf8seven7dkbkfbdgdcjvnmdbzx9,nhqdsngrf877dkbkfbdgdcjvnmdbzx9,"8, 7, 7, 9",89
7qrmrsnhvfive4klcrkkbtwo,7qrmrsnhv54klcrkkb2,"7, 5, 4, 2",72
qpltxmjl3twosixrnvmlqvgrgmgninetwo,qpltxmjl32sixrnvmlqvgrgmgnine2,"3, 2, 2",32
43lbsbgjkng1one,43lbsbgjkng11,"4, 3, 1, 1",41
lzjqmlxnk452zrglhpbpvtwo,lzjqmlxnk452zrglhpbpv2,"4, 5, 2, 2",42
fourlmcprk36mthree,4lmcprk36m3,"4, 3, 6, 3",43
cssthvvxrgpks48glbxk,cssthvvxrgpks48glbxk,"4, 8",48
qpmkfxk4fourbmnbfzhgn2three,qpmkfxk44bmnbfzhgn23,"4, 4, 2, 3",43
zxkntbdnm3fivethreesixmkgztvrfpkjgxljbm5tt,zxkntbdnm35three6mkgztvrfpkjgxljbm5tt,"3, 5, 6, 5",35
1vlhrcllfjtsgmqcvhcbcr98,1vlhrcllfjtsgmqcvhcbcr98,"1, 9, 8",18
nine6dlkvtfjfnq3hbxxm,96dlkvtfjfnq3hbxxm,"9, 6, 3",93
eight42,842,"8, 4, 2",82
mnrdpvdpklgkjnrz4,mnrdpvdpklgkjnrz4,4,44
1seven93ninesevenjqmeighteightwoz,1793ninesevenjqmeighteigh2z,"1, 7, 9, 3, 2",12
seven8933five4seven,78933five47,"7, 8, 9, 3, 3, 4, 7",77
9lldhvdqdzvdgptsmf1eight,9lldhvdqdzvdgptsmf18,"9, 1, 8",98
7fiveninezfourkrltflg,75ninez4krltflg,"7, 5, 4",74
threeseven9,379,"3, 7, 9",39
7hjfzpltbjqbkx1two,7hjfzpltbjqbkx12,"7, 1, 2",72
1twoqghxlrpmfourfivefonermntbg,12qghxlrpmfourfivef1rmntbg,"1, 2, 1",11
77eightjpgmmjst4,778jpgmmjst4,"7, 7, 8, 4",74
9three8586nine6kb,93858696kb,"9, 3, 8, 5, 8, 6, 9, 6",96
three8ninetwothree2,38ninetwo32,"3, 8, 3, 2",32
13xrhdzqsonesix43bph,13xrhdzqs1643bph,"1, 3, 1, 6, 4, 3",13
foneight7,f1ight7,"1, 7",17
29one,291,"2, 9, 1",21
rth7cczktksv2,rth7cczktksv2,"7, 2",72
frrpbtjjcdfccdl1three,frrpbtjjcdfccdl13,"1, 3",13
one5six4,1564,"1, 5, 6, 4",14
ninehszc5svnhfrqm,9hszc5svnhfrqm,"9, 5",95
threezfrmbgmjzg6,3zfrmbgmjzg6,"3, 6",36
9eight8one8fxlkdjhql,98818fxlkdjhql,"9, 8, 8, 1, 8",98
fivesmtkcsskrq7hxqbfkbqlninegnqddjrvxb,5smtkcsskrq7hxqbfkbql9gnqddjrvxb,"5, 7, 9",59
zfivehhknpdm7fngjpkbvone,z5hhknpdm7fngjpkbv1,"5, 7, 1",51
7five8,758,"7, 5, 8",78
qkcxcpjzggzdxrfhlbsdbq17,qkcxcpjzggzdxrfhlbsdbq17,"1, 7",17
654mk,654mk,"6, 5, 4",64
2mqtgbmsnhq4zv48jzdchccdpzhs,2mqtgbmsnhq4zv48jzdchccdpzhs,"2, 4, 4, 8",28
rpkfj1hkrztwosix4bktdfk,rpkfj1hkrz264bktdfk,"1, 2, 6, 4",14
seven9bxjmvrbb,79bxjmvrbb,"7, 9",79
9threethreeeightppdkjzltclnq8sixnine,93threeeightppdkjzltclnq8six9,"9, 3, 8, 9",99
7seven92,7792,"7, 7, 9, 2",72
567onefour8bsgjtrvsxkjlsc,567148bsgjtrvsxkjlsc,"5, 6, 7, 1, 4, 8",58
1dnbsjbdsrsscq3ninefour,1dnbsjbdsrsscq394,"1, 3, 9, 4",14
vbpkpgssljgtxdfivethree6,vbpkpgssljgtxd536,"5, 3, 6",56
eightsevenrkkjszmxvxtwo9jpvzldd6,8sevenrkkjszmxvx29jpvzldd6,"8, 2, 9, 6",86
one7523vgpvlkd,17523vgpvlkd,"1, 7, 5, 2, 3",13
foureightonepeight4,4eightonep84,"4, 8, 4",44
9fiveeightone,95eight1,"9, 5, 1",91
nine7one9,9719,"9, 7, 1, 9",99
g328dbspnkseven,g328dbspnk7,"3, 2, 8, 7",37
threeclqhr97five,3clqhr975,"3, 9, 7, 5",35
8onefourffhrmfkvctt,814ffhrmfkvctt,"8, 1, 4",84
2pzftpmvzfive,2pzftpmvz5,"2, 5",25
433tvdzmcrdl,433tvdzmcrdl,"4, 3, 3",43
five42ckvlkgkjxh35sixd,542ckvlkgkjxh356d,"5, 4, 2, 3, 5, 6",56
nine6hs,96hs,"9, 6",96
99cmtdzjtpxk15c2,99cmtdzjtpxk15c2,"9, 9, 1, 5, 2",92
tconexjkkh9,tc1xjkkh9,"1, 9",19
sevensix5oneeight,7six5one8,"7, 5, 8",78
twotwo4ncmpzpvvdrsxkpnpfkjseven,2two4ncmpzpvvdrsxkpnpfkj7,"2, 4, 7",27
nine42,942,"9, 4, 2",92
7sevenxntxxdnfckbkdh7seven6eight,77xntxxdnfckbkdh7seven68,"7, 7, 7, 6, 8",78
2foursevenzvdvhmzscd8gmlxxkqxd,247zvdvhmzscd8gmlxxkqxd,"2, 4, 7, 8",28
5sevenrzntpronehfpbdcmffdscfvsqjcvnbtqzpph,57rzntpr1hfpbdcmffdscfvsqjcvnbtqzpph,"5, 7, 1",51
threefoursix6ninegdpmtlsix,3foursix6ninegdpmtl6,"3, 6, 6",36
lxcflpcvgctxhm1nine2,lxcflpcvgctxhm192,"1, 9, 2",12
seven4one9mkkznineck8ptpc,74one9mkkz9ck8ptpc,"7, 4, 9, 9, 8",78
seven4qtgqrcvfcfourzfdnx,74qtgqrcvfc4zfdnx,"7, 4, 4",74
md13xsdltxltqhninemjs,md13xsdltxltqh9mjs,"1, 3, 9",19
fourtxtscncgxvp3tqthreeseven,4txtscncgxvp3tqthree7,"4, 3, 7",47
8zzvkkmzhr7sevenfive776,8zzvkkmzhr775776,"8, 7, 7, 5, 7, 7, 6",86
91sgceightvgzjdkkkthree,91sgc8vgzjdkkk3,"9, 1, 8, 3",93
mfmvgtck5gbjstzvmfvtmr,mfmvgtck5gbjstzvmfvtmr,5,55
nine57one84sixmqt,957one846mqt,"9, 5, 7, 8, 4, 6",96
threekslcvdzlhhq6dqtkp9two4,3kslcvdzlhhq6dqtkp924,"3, 6, 9, 2, 4",34
2slmvrvz38,2slmvrvz38,"2, 3, 8",28
foursix6qlqvzqbdzf2,466qlqvzqbdzf2,"4, 6, 6, 2",42
mftwone3eighthhcsgfvrrj,mf2ne38hhcsgfvrrj,"2, 3, 8",28
174bx2ninetwo8,174bx2928,"1, 7, 4, 2, 9, 2, 8",18
ninetwo7mzlcjkmj,927mzlcjkmj,"9, 2, 7",97
37four2,3742,"3, 7, 4, 2",32
cjmlmtwovrvsbmeightthreethree3lkq9,cjmlm2vrvsbmeightthree33lkq9,"2, 3, 3, 9",29
